Product Num,Product Name,Product Type,None
Total,,,"$549,299.00"
1286,Feisty Blonde 4/6/12 CN,Beer Package>5%,"$226,446.00"
1013,Feisty Blonde 1/2 BBL,Beer Keg >5%,"$131,752.00"
1014,Feisty Blonde 1/6 BBL,Beer Keg >5%,"$53,305.00"
1289,Fur Slipper 4/6/12 CN,Beer Package>5%,"$35,944.00"
1291,Go Easy IPA - 4/6/12 CN,Beer Package>5%,"$20,121.00"
1287,Hairpin 4/6/12 CN,Beer Package>5%,"$17,850.00"
1019,Fur Slipper 1/2 BBL,Beer Keg >5%,"$8,732.00"
1020,Fur Slipper 1/6 BBL,Beer Keg >5%,"$5,729.00"
175,Orange Blossom Special - 1/2 BBL,Beer Keg >5%,"$5,030.00"
1363,Fur Slipper Nitro 1/2 BBL,Beer Keg >5%,"$4,582.50"
277,Go Easy IPA - 1/2 BBL,Beer Keg >5%,"$3,929.00"
1016,Hairpin 1/6 BBL,Beer Keg >5%,"$3,888.00"
1110,Ahuevo DIPA 1/6 BBL,Beer Keg >5%,"$3,752.00"
1018,Steampipe 1/6 BBL,Beer Keg >5%,"$3,472.50"
692,Go Easy IPA - 1/6 BBL,Beer Keg >5%,"$3,208.50"
1015,Hairpin 1/2 BBL,Beer Keg >5%,"$3,122.50"
1111,Feisty Blonde - Red Head 1/2 BBL,Beer Keg >5%,"$2,488.00"
1351,Fur Slipper Nitro 1/6 BBL,Beer Keg >5%,"$2,280.00"
1282,Orange Blossom Special - 1/6 BBL,Beer Keg >5%,"$1,985.50"
1065,Hopfusion - Glasses - Pint - Logo - 24,Glassware,"$1,908.00"
1112,Ahuevo DIPA 1/2 BBL,Beer Keg >5%,"$1,800.00"
1017,Steampipe 1/2 BBL,Beer Keg >5%,"$1,652.00"
1109,Feisty Blonde - Red Head 1/6 BBL,Beer Keg >5%,"$1,544.00"
1315,Thorny Blonde 1/6 BBL,Beer Keg >5%,"$1,240.50"
1482,Coco Anejo - 1/6 BBL,Beer Keg >5%,"$1,050.00"
1481,Coco Anejo - 1/2 BBL,Beer Keg >5%,$585.00
1873,Thorny Blonde 1/2 BBL,Beer Keg >5%,$416.00
1147,Zombie Crack 1/6 BBL,Beer Keg >5%,$400.00
1054,Zombie Crack 1/2 BBL,Beer Keg >5%,$230.00
1959,BA Fur Slipper - 1/6 BBL,Beer Keg >5%,$220.00
1863,Bourbon BA Fur Slipper - 1/6,Beer Keg >5%,$220.00
1480,La Fauves - Hibiscus Ginger - 1/6 BBL,Beer Keg >5%,$208.00
1096,Hopfusion - Glasses - 16oz Snifter - Logo - 12,Glassware,$108.00
1374,Amped Fusion 1/6 BBL,Beer Keg >5%,$100.00
1288,Steampipe 4/6/12 CN,Beer Package>5%,$0.00
