Hops:,AA%
Amarillo,7.5
Cascade,6
Challenger,5.3
Chinook,11.7
Cluster,7
Columbus,14.5
Crystal,3.5
Fuggle,4
Galena,11
Hallertau,6.5
Hersbrucker,3.1
Kent Golding,4.5
Liberty,3
Magnum,10
Mt Hood,6.1
Northern Brewer,9
Nugget,15.1
Nugget,13
Palisade,7.3
Perle,7.5
Saaz,4
Sorachi Ace,11.6
Styrian Golding,5.2
Target,8.6
Tettnagner,4.8
US Golding,4.5
Warrior,16.7
Willamette,5.1
,
Spices:,
Allspice,0
Birch Bark,0
Bitter Orange,0
Black Peppercorn,0
Caraway,0
Cardamom,0
Chamomile,0
Chilli Powder,0
Cinnamon Stick,0
Cocao Nibs,0
Coriander,0
Ginger,0
Grains of Paradise,0
Hibiscus,0
Licorice,0
Nutmeg,0
Paprika,0
Pink Peppercorn,0
Sasparilla,0
Sassafras,0
Vanilla Bean,0
Wintergreen,0
