Product Num,Product Name,Product Type,Case Equiv
2080,Feisty Brunette - 1/2 BBL,Beer Keg >5%,7
2078,Tejano Lager - 1/2 BBL,Beer Keg >5%,7
2076,Sprockets Altbier - 1/2 BBL,Beer Keg >5%,7
2074,Boatmans Barleywine - 1/2 BBL,Beer Keg >5%,7
2072,Fingal Irish Stout Nitro - 1/2 BBL,Beer Keg >5%,7
1873,Thorny Blonde 1/2 BBL,Beer Keg >5%,7
1481,Coco Anejo - 1/2 BBL,Beer Keg >5%,7
1479,La Fauves - Hibiscus Ginger - 1/2 BBL,Beer Keg >5%,7
1363,Fur Slipper Nitro 1/2 BBL,Beer Keg >5%,7
1112,Ahuevo DIPA 1/2 BBL,Beer Keg >5%,7
1111,Feisty Blonde - Red Head 1/2 BBL,Beer Keg >5%,7
1054,Zombie Crack 1/2 BBL,Beer Keg >5%,7
1019,Fur Slipper 1/2 BBL,Beer Keg >5%,7
1017,Steampipe 1/2 BBL,Beer Keg >5%,7
1015,Hairpin 1/2 BBL,Beer Keg >5%,7
1013,Feisty Blonde 1/2 BBL,Beer Keg >5%,7
277,Go Easy IPA - 1/2 BBL,Beer Keg >5%,7
175,Orange Blossom Special - 1/2 BBL,Beer Keg >5%,7
2079,Tejano Lager - 1/6 BBL,Beer Keg >5%,2
2077,Sprockets Altbier - 1/6 BBL,Beer Keg >5%,2
2075,Boatmans Barleywine - 1/6 BBL,Beer Keg >5%,2
2073,Fingal Irish Stout Nitro - 1/6 BBL,Beer Keg >5%,2
1959,BA Fur Slipper - 1/6 BBL,Beer Keg >5%,2
1958,Feisty Brunette - 1/6 BBL,Beer Keg >5%,2
1863,Bourbon BA Fur Slipper - 1/6,Beer Keg >5%,2
1482,Coco Anejo - 1/6 BBL,Beer Keg >5%,2
1480,La Fauves - Hibiscus Ginger - 1/6 BBL,Beer Keg >5%,2
1478,Le Fauves - Hibiscus Ginger - 1/6 BBL,Beer Keg >5%,2
1374,Amped Fusion 1/6 BBL,Beer Keg >5%,2
1351,Fur Slipper Nitro 1/6 BBL,Beer Keg >5%,2
1315,Thorny Blonde 1/6 BBL,Beer Keg >5%,2
1282,Orange Blossom Special - 1/6 BBL,Beer Keg >5%,2
1147,Zombie Crack 1/6 BBL,Beer Keg >5%,2
1110,Ahuevo DIPA 1/6 BBL,Beer Keg >5%,2
1109,Feisty Blonde - Red Head 1/6 BBL,Beer Keg >5%,2
1020,Fur Slipper 1/6 BBL,Beer Keg >5%,2
1018,Steampipe 1/6 BBL,Beer Keg >5%,2
1016,Hairpin 1/6 BBL,Beer Keg >5%,2
1014,Feisty Blonde 1/6 BBL,Beer Keg >5%,2
692,Go Easy IPA - 1/6 BBL,Beer Keg >5%,2
1291,Go Easy IPA - 4/6/12 CN,Beer Package>5%,1
1289,Fur Slipper 4/6/12 CN,Beer Package>5%,1
1288,Steampipe 4/6/12 CN,Beer Package>5%,1
1287,Hairpin 4/6/12 CN,Beer Package>5%,1
1286,Feisty Blonde 4/6/12 CN,Beer Package>5%,1
1331,Hop Fusion Tin Tacker,Point of Sale,0
1096,Hopfusion - Glasses - 16oz Snifter - Logo - 12,Glassware,0
1065,Hopfusion - Glasses - Pint - Logo - 24,Glassware,0
